latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.8559,-71.1596,308.3,1,1,2013-01-01,0558,Aqua,MODIS,74,6.2,271.8,14.2,N,1
-33.3054,-70.7523,326.7,2.2,1.4,2013-01-01,1521,Terra,MODIS,57,6.2,308,31.9,D,0
-35.8514,-71.599,312.9,2.1,1.4,2013-01-01,1522,Terra,MODIS,34,6.2,302,14.9,D,0
-37.0329,-72.4014,315,1.9,1.4,2013-01-01,1522,Terra,MODIS,41,6.2,304.3,13,D,0
-35.8386,-71.5974,314.2,2.1,1.4,2013-01-01,1522,Terra,MODIS,45,6.2,303.5,19.2,D,0
-34.9796,-71.2449,316.8,2.1,1.4,2013-01-01,1522,Terra,MODIS,33,6.2,304.2,21,D,0
-37.4788,-73.3334,309.8,1.7,1.3,2013-01-01,1522,Terra,MODIS,38,6.2,298.4,13,D,0
-36.929,-73.0195,310.8,1.8,1.3,2013-01-01,1522,Terra,MODIS,0,6.2,300.4,16.4,D,0
-37.6064,-73.6533,306.1,1.6,1.3,2013-01-01,1523,Terra,MODIS,0,6.2,296,10.7,D,0
-38.2394,-72.3252,310.6,2,1.4,2013-01-01,1523,Terra,MODIS,37,6.2,299.9,17.2,D,0
-41.4605,-72.9302,307.9,2,1.4,2013-01-01,1524,Terra,MODIS,23,6.2,294.1,14.9,D,0
-41.4586,-72.9546,308.5,2,1.4,2013-01-01,1524,Terra,MODIS,33,6.2,294.4,14.4,D,0
-45.5838,-72.0478,306.8,2.5,1.5,2013-01-01,1525,Terra,MODIS,42,6.2,294,21.6,D,2
-33.309,-70.7532,324.8,3.1,1.7,2013-01-01,1800,Aqua,MODIS,35,6.2,310.4,37.7,D,0
-34.4714,-71.3368,318.2,3.5,1.8,2013-01-01,1800,Aqua,MODIS,33,6.2,306.1,43.2,D,0
-45.5762,-72.0646,312,1.2,1.1,2013-01-02,1429,Terra,MODIS,18,6.2,299.1,7.7,D,0
-45.579,-72.0495,311.6,1.2,1.1,2013-01-02,1429,Terra,MODIS,40,6.2,298.6,7.6,D,0
-42.8377,-72.6568,316.6,1.4,1.2,2013-01-02,1429,Terra,MODIS,49,6.2,299.2,18.1,D,1
-45.5818,-72.0676,314,1.2,1.1,2013-01-02,1840,Aqua,MODIS,34,6.2,301.7,9.7,D,2
-41.4035,-72.9082,309.6,1.2,1.1,2013-01-02,1841,Aqua,MODIS,36,6.2,297.3,5.9,D,0
-42.8434,-72.654,315.4,1.2,1.1,2013-01-02,1841,Aqua,MODIS,55,6.2,299.7,14.5,D,1
-41.3936,-72.9102,308.1,1.2,1.1,2013-01-02,1841,Aqua,MODIS,16,6.2,297.2,4.7,D,0
-37.7167,-72.2398,320.4,1.1,1,2013-01-02,1842,Aqua,MODIS,55,6.2,308.9,8,D,0
-39.2813,-72.2319,314.6,1.1,1,2013-01-02,1842,Aqua,MODIS,52,6.2,303.9,7.9,D,0
-36.4309,-71.9581,323.1,1,1,2013-01-02,1842,Aqua,MODIS,36,6.2,311.2,9.9,D,2
-36.4204,-70.9432,330.6,1,1,2013-01-02,1842,Aqua,MODIS,57,6.2,312.4,15.2,D,0
-37.4678,-72.3712,324.5,1.1,1,2013-01-02,1842,Aqua,MODIS,41,6.2,310,9.3,D,2
